DEBUG 2025-07-28 15:24:02,696 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Users.Dto.CreateUserDto
DEBUG 2025-07-28 15:24:02,715 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Users.Dto.UserDto
DEBUG 2025-07-28 15:24:02,723 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Sessions.Dto.TenantLoginInfoDto
DEBUG 2025-07-28 15:24:02,725 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Sessions.Dto.UserLoginInfoDto
DEBUG 2025-07-28 15:24:02,726 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Roles.Dto.PermissionDto
DEBUG 2025-07-28 15:24:02,727 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Property.Dto.CreateTaskPropertyDto
DEBUG 2025-07-28 15:24:02,729 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Property.Dto.EditTaskPropertyDto
DEBUG 2025-07-28 15:24:02,729 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Property.Dto.TaskOwnerComboDto
DEBUG 2025-07-28 15:24:02,730 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Property.Dto.TaskPropertyDto
DEBUG 2025-07-28 15:24:02,731 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Property.Dto.TaskPropertyTypeComboDto
DEBUG 2025-07-28 15:24:02,731 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.PropertyType.Dto.CreateTaskPropertyTypeDto
DEBUG 2025-07-28 15:24:02,732 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.PropertyType.Dto.TaskPropertyTypeDto
DEBUG 2025-07-28 15:24:02,732 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Owner.Dto.CreateTaskOwnerDto
DEBUG 2025-07-28 15:24:02,732 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Owner.Dto.EditTaskOwnerDto
DEBUG 2025-07-28 15:24:02,732 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Owner.Dto.TaskOwnerDto
DEBUG 2025-07-28 15:24:02,732 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.MultiTenancy.Dto.CreateTenantDto
DEBUG 2025-07-28 15:24:02,732 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.MultiTenancy.Dto.TenantDto
DEBUG 2025-07-28 15:24:02,733 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Web.Views.Shared.Components.TenantChange.TenantChangeViewModel
DEBUG 2025-07-28 15:24:02,733 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PruebaQuercu.Web.Models.Roles.EditRoleModalViewModel
WARN  2025-07-28 15:24:11,553 [1    ] oft.EntityFrameworkCore.Model.Validation - No store type was specified for the decimal property 'Area' on entity type 'TaskProperty'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
WARN  2025-07-28 15:24:11,562 [1    ] oft.EntityFrameworkCore.Model.Validation - No store type was specified for the decimal property 'ConstructionArea' on entity type 'TaskProperty'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
INFO  2025-07-28 15:24:19,731 [1    ] tCore.Builder.RequestLocalizationOptions - Supported Request Localization Cultures: en,es-MX,fr,de,it,nl,pt-BR,tr,ru,ar,fa,ja,zh-Hans
INFO  2025-07-28 15:24:23,667 [14   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44312/ - - -
INFO  2025-07-28 15:24:24,269 [1    ] Microsoft.Hosting.Lifetime               - Application started. Press Ctrl+C to shut down.
INFO  2025-07-28 15:24:24,294 [1    ] Microsoft.Hosting.Lifetime               - Hosting environment: Development
INFO  2025-07-28 15:24:24,320 [1    ] Microsoft.Hosting.Lifetime               - Content root path: C:\Users\brend\Documents\Universidad\UCR2025\IICiclo\Quercu\Practicas\10.2.0\aspnet-core\src\PruebaQuercu.Web.Mvc
INFO  2025-07-28 15:24:26,638 [12   ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'PruebaQuercu.Web.Controllers.HomeController.Index (PruebaQuercu.Web.Mvc)'
INFO  2025-07-28 15:24:26,738 [12   ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "Index", controller = "Home", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult Index() on controller PruebaQuercu.Web.Controllers.HomeController (PruebaQuercu.Web.Mvc).
WARN  2025-07-28 15:24:27,259 [12   ] EntityFrameworkCore.Database.Transaction - Savepoints are disabled because Multiple Active Result Sets (MARS) is enabled. If 'SaveChanges' fails, then the transaction cannot be automatically rolled back to a known clean state. Instead, the transaction should be rolled back by the application before retrying 'SaveChanges'. See https://go.microsoft.com/fwlink/?linkid=2149338 for more information and examples. To identify the code which triggers this warning, call 'ConfigureWarnings(w => w.Throw(SqlServerEventId.SavepointsDisabledBecauseOfMARS))'.
INFO  2025-07-28 15:24:27,610 [12   ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executing ViewResult, running view Index.
WARN  2025-07-28 15:24:28,813 [14   ] naries.DictionaryBasedLocalizationSource - Can not find 'Owners' in localization source 'PruebaQuercu'!
WARN  2025-07-28 15:24:28,853 [14   ] naries.DictionaryBasedLocalizationSource - Can not find 'PropertyType' in localization source 'PruebaQuercu'!
WARN  2025-07-28 15:24:28,860 [14   ] naries.DictionaryBasedLocalizationSource - Can not find 'PropertyType' in localization source 'PruebaQuercu'!
WARN  2025-07-28 15:24:28,860 [14   ] naries.DictionaryBasedLocalizationSource - Can not find 'Property' in localization source 'PruebaQuercu'!
INFO  2025-07-28 15:24:30,265 [12   ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executed ViewResult - view Index executed in 2697.011ms.
INFO  2025-07-28 15:24:30,277 [12   ] c.Infrastructure.ControllerActionInvoker - Executed action PruebaQuercu.Web.Controllers.HomeController.Index (PruebaQuercu.Web.Mvc) in 3534.7287ms
INFO  2025-07-28 15:24:30,286 [12   ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'PruebaQuercu.Web.Controllers.HomeController.Index (PruebaQuercu.Web.Mvc)'
INFO  2025-07-28 15:24:30,321 [14   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44312/ - 200 - text/html;+charset=utf-8 6839.7572ms
INFO  2025-07-28 15:24:30,582 [14   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44312/img/avatar.png - - -
INFO  2025-07-28 15:24:30,613 [12   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44312/img/logo.png - - -
INFO  2025-07-28 15:24:30,660 [13   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44312/view-resources/Views/_Bundles/shared-layout.min.css?v=2JgH3l8w67_GazpOLzhgPLwDTROeYI-Dm8MfkKH0Vw0 - - -
INFO  2025-07-28 15:24:30,734 [14   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/img/avatar.png'. Physical path: 'C:\Users\brend\Documents\Universidad\UCR2025\IICiclo\Quercu\Practicas\10.2.0\aspnet-core\src\PruebaQuercu.Web.Mvc\wwwroot\img\avatar.png'
